Date,Open,High,Low,Close,Adj Close,Volume
2010-06-10,328.149994,331.750000,327.569000,330.694000,140.721359,5187448
2010-06-11,333.112000,336.362000,327.625000,328.843994,139.934097,9912864
2010-06-14,331.263000,344.855988,331.263000,343.299988,146.085648,9728848
2010-06-15,343.312012,347.500000,340.263000,341.837006,145.463074,7946312
2010-06-16,344.362000,347.437988,342.750000,346.174988,147.309021,5720064
2010-06-17,347.000000,347.975006,342.000000,345.605988,147.066895,5639240
2010-06-18,338.480988,351.875000,338.480988,348.274994,148.202637,8356232
2010-06-21,349.924988,352.350006,348.906006,350.100006,148.979233,7164752
2010-06-22,348.750000,349.919006,345.000000,345.888000,147.186890,4763688
2010-06-23,343.388000,350.618988,339.730988,349.718994,148.817108,4948088
2010-06-24,351.799988,354.212006,347.881012,352.837006,150.143951,12316104
2010-06-25,351.250000,351.493988,346.375000,347.212006,147.750320,3345664
2010-06-28,346.250000,352.125000,346.250000,351.125000,149.415421,3834168
2010-06-29,349.131012,351.700012,345.888000,349.194000,148.593719,3773072
2010-06-30,347.250000,351.080994,341.500000,348.875000,148.457977,9449976
2010-07-01,348.875000,348.875000,343.875000,345.881012,147.183914,5847248
2010-07-02,346.868988,346.868988,339.500000,340.937988,145.080490,11169440
2010-07-05,341.250000,344.000000,340.000000,342.931000,145.928574,3616720
2010-07-06,342.875000,349.875000,342.875000,348.138000,148.144379,5872600
2010-07-07,349.950012,349.950012,345.649994,347.718994,147.966049,5923392
2010-07-08,350.750000,355.799988,350.013000,353.562012,150.452438,6278192
2010-07-09,354.763000,360.062012,354.763000,359.225006,152.862213,7859112
2010-07-12,356.256012,363.750000,356.250000,361.987000,154.037552,8597240
2010-07-13,358.750000,359.381012,347.625000,349.593994,148.763916,25502384
2010-07-14,348.743988,351.125000,342.125000,342.862000,145.899216,14193928
2010-07-15,343.618988,347.000000,342.500000,344.950012,146.787735,8328136
2010-07-16,344.375000,348.875000,343.875000,347.125000,147.713272,8205560
2010-07-19,343.625000,349.100006,341.968994,346.306000,147.364792,7047120
2010-07-20,346.306000,347.812012,344.187988,344.955994,146.790314,5054736
2010-07-21,345.912994,347.375000,345.000000,346.455994,147.428604,2634480
2010-07-22,345.593994,345.593994,340.881012,344.312012,146.516220,8226952
2010-07-23,348.375000,358.756012,345.625000,348.306000,148.215820,5323096
2010-07-26,348.750000,351.250000,348.750000,350.556000,149.173294,4470816
2010-07-27,350.375000,354.250000,350.375000,353.600006,150.468613,5093960
2010-07-28,353.625000,354.812012,351.500000,354.013000,150.644348,3725168
2010-07-29,353.100006,355.000000,351.355988,354.144012,150.700119,3613008
2010-07-30,351.875000,353.906006,345.000000,348.549988,148.319672,4472672
2010-08-02,350.000000,351.600006,347.644012,349.618988,148.774551,3815232
2010-08-03,350.625000,352.375000,346.187988,348.037994,148.101791,2434584
